药品名称	通用名	申请号	提交类型	状态	审批日期	链接
FENOFIBRIC ACID	FENOFIBRIC ACID	ANDA207796	SUPPL	AP	2026-07-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA207796
NEURACEQ	FLORBETABEN F 18	NDA204677	SUPPL	AP	2026-07-22	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA204677
Unknown	Unknown	NDA050597	SUPPL	AP	2026-07-17	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA050597
METFORMIN HYDROCHLORIDE	METFORMIN HYDROCHLORIDE	ANDA077880	SUPPL	AP	2026-07-23	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA077880
METHYLERGONOVINE MALEATE	METHYLERGONOVINE MALEATE	ANDA211919	SUPPL	AP	2026-07-08	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA211919
NEUPOGEN	FILGRASTIM	BLA103353	SUPPL	AP	2026-07-16	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=BLA103353
HEPARIN SODIUM	HEPARIN SODIUM	ANDA089522	SUPPL	AP	2026-07-09	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA089522
Unknown	Unknown	ANDA076996	SUPPL	AP	2026-07-01	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076996
GABAPENTIN	GABAPENTIN	ANDA217995	SUPPL	AP	2026-07-22	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA217995
CHILDRENS ZYRTEC	CETIRIZINE HYDROCHLORIDE	NDA022155	SUPPL	AP	2026-07-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA022155
NINTEDANIB	NINTEDANIB	ANDA218472	ORIG	AP	2026-07-09	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA218472
FINASTERIDE	FINASTERIDE	ANDA076437	SUPPL	AP	2026-07-01	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076437
KISQALI FEMARA CO-PACK	LETROZOLE AND RIBOCICLIB	NDA209935	SUPPL	AP	2026-07-01	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA209935
INREBIC	FEDRATINIB HYDROCHLORIDE	NDA212327	SUPPL	AP	2026-07-20	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA212327
EPHEDRINE SULFATE	EPHEDRINE SULFATE	ANDA216740	ORIG	AP	2026-07-08	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA216740
ACYCLOVIR	ACYCLOVIR	ANDA216331	SUPPL	AP	2026-07-01	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA216331
Unknown	Unknown	ANDA209938	ORIG	AP	2026-07-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA209938
TEGRETOL	CARBAMAZEPINE	NDA018927	SUPPL	AP	2026-07-15	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA018927
BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE	BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE	NDA020186	SUPPL	AP	2026-07-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA020186
OXCARBAZEPINE	OXCARBAZEPINE	ANDA216749	SUPPL	AP	2026-07-08	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA216749
JAKAFI XR	RUXOLITINIB	NDA217180	SUPPL	AP	2026-07-20	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA217180
ACETAZOLAMIDE	ACETAZOLAMIDE	ANDA040904	SUPPL	AP	2026-07-14	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA040904
ZYRTEC ALLERGY	CETIRIZINE HYDROCHLORIDE	NDA022578	SUPPL	AP	2026-07-02	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA022578
Unknown	Unknown	NDA020711	SUPPL	AP	2026-07-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA020711
Unknown	Unknown	ANDA218495	ORIG	AP	2026-07-21	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA218495
Unknown	Unknown	ANDA076450	SUPPL	AP	2026-07-14	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076450
Unknown	Unknown	ANDA076450	SUPPL	AP	2026-07-14	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076450
METFORMIN HYDROCHLORIDE ER	METFORMIN HYDROCHLORIDE	ANDA207427	SUPPL	AP	2026-07-27	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA207427
FENOFIBRIC ACID	FENOFIBRIC ACID	ANDA213450	SUPPL	AP	2026-07-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA213450
ELINEST	NORGESTREL AND ETHINYL ESTRADIOL	ANDA091105	SUPPL	AP	2026-07-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA091105
